time,open,high,low,close,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter
2023-06-02,5.267817241114292,6.05,5.267817241114292,5.7825,0,0,0,0,NaN,NaN,35.467701582125436,NaN,NaN,NaN,6.290675594149352,5.218888983260653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2023-06-05,5.525158620557146,6.19,5.525158620557146,5.968500000000001,0,0,0,0,NaN,NaN,28.07508304426242,NaN,NaN,NaN,6.290675594149352,5.489173957780277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2023-06-06,5.7468293102785735,6.2881,5.7468293102785735,6.014525,0,0,0,0,NaN,NaN,21.11981326074632,NaN,NaN,NaN,6.290675594149352,5.662888020446194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2023-06-07,5.880677155139287,6.33,5.64,5.97,0,0,0,0,NaN,NaN,14.911385457724927,NaN,NaN,NaN,6.290675594149352,5.662888020446194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2023-06-08,5.925338577569644,5.925338577569644,4.855,5.50875,0,0,0,0,NaN,NaN,10.34708405899351,NaN,NaN,NaN,6.290675594149352,5.662888020446194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2023-06-09,5.717044288784821,5.82,5.13,5.4624999999999995,0,0,0,0,NaN,NaN,6.30644701478416,NaN,NaN,NaN,6.290675594149352,5.662888020446194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2023-06-12,5.589772144392411,5.589772144392411,4.99,5.13,0,0,0,0,NaN,NaN,3.1963861433986613,NaN,NaN,NaN,6.290675594149352,5.426315875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2023-06-13,5.359886072196206,5.359886072196206,4.73,4.95125,0,0,0,0,NaN,NaN,1.1878397125504754,NaN,NaN,NaN,6.290675594149352,5.32537014875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2023-06-14,5.155568036098103,5.155568036098103,4.43,4.665,0,0,0,0,NaN,NaN,0.22812897920774944,NaN,NaN,NaN,6.290675594149352,5.151210439824999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2023-06-15,4.910284018049051,4.910284018049051,4.47,4.62125,0,0,0,0,NaN,NaN,0.053352390346848605,NaN,NaN,NaN,6.290675594149352,5.083607750240749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2023-06-16,4.765767009024525,5.09,4.65,4.865,0,0,0,0,NaN,NaN,1.0312912928733902,NaN,NaN,NaN,6.290675594149352,5.083607750240749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2023-06-20,4.815383504512263,5.05,4.25,4.640000000000001,0,0,0,0,NaN,NaN,2.9108955688276055,NaN,NaN,NaN,6.290675594149352,5.083607750240749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
