time,open,high,low,close
2024-08-07T13:49:00-04:00,2.5713776588959716,2.5713776588959716,2.5001,2.5357250000000002
2024-08-07T13:51:00-04:00,2.553551329447986,2.553551329447986,2.525,2.5433000000000003
2024-08-07T13:53:00-04:00,2.548425664723993,2.5499,2.535,2.545025
2024-08-07T13:59:00-04:00,2.5467253323619965,2.57,2.5372,2.54795
2024-08-07T14:00:00-04:00,2.547337666180998,2.569,2.545,2.557
2024-08-07T14:01:00-04:00,2.552168833090499,2.552168833090499,2.5201,2.5201
2024-08-07T14:02:00-04:00,2.5361344165452495,2.5542,2.5361344165452495,2.5542
2024-08-07T14:14:00-04:00,2.5451672082726247,2.5687,2.52,2.54435
2024-08-07T14:26:00-04:00,2.5447586041363124,2.56,2.54,2.554875
2024-08-07T14:47:00-04:00,2.549816802068156,2.5599,2.549816802068156,2.5599
2024-08-07T15:03:00-04:00,2.5548584010340782,2.5599,2.5201,2.54335
2024-08-07T15:10:00-04:00,2.5491042005170392,2.5599,2.5491042005170392,2.5599
2024-08-07T15:17:00-04:00,2.5545021002585195,2.56,2.52,2.54025
2024-08-07T15:26:00-04:00,2.5473760501292597,2.56,2.51,2.535
2024-08-07T15:29:00-04:00,2.54118802506463,2.56,2.5,2.530025
2024-08-07T15:30:00-04:00,2.535606512532315,2.535606512532315,2.53,2.53
2024-08-07T15:45:00-04:00,2.532803256266157,2.532803256266157,2.5001,2.5131
2024-08-07T15:54:00-04:00,2.522951628133079,2.5599,2.522951628133079,2.54495
2024-08-07T15:57:00-04:00,2.5339508140665394,2.5599,2.52,2.5417249999999996
2024-08-07T15:58:00-04:00,2.5378379070332695,2.5599,2.5378379070332695,2.556075
2024-08-07T15:59:00-04:00,2.5469564535166347,2.56,2.505,2.53875
2024-08-07T16:00:00-04:00,2.542853226758317,2.5699,2.542853226758317,2.564575
2024-08-07T16:01:00-04:00,2.5537141133791588,2.8899,2.5537141133791588,2.706975
2024-08-07T16:02:00-04:00,2.6303445566895793,2.82,2.63,2.7175000000000002
2024-08-07T16:03:00-04:00,2.67392227834479,2.7999,2.5282,2.7319750000000003
2024-08-07T16:07:00-04:00,2.702948639172395,2.702948639172395,2.55,2.6049499999999997
2024-08-07T16:08:00-04:00,2.6539493195861974,2.66,2.65,2.6550000000000002
2024-08-07T16:09:00-04:00,2.654474659793099,2.66,2.5,2.5925000000000002
2024-08-07T16:11:00-04:00,2.6234873298965495,2.6599,2.6234873298965495,2.6599
2024-08-07T16:17:00-04:00,2.6416936649482747,2.6599,2.61,2.63495
2024-08-07T16:20:00-04:00,2.638321832474137,2.6599,2.61,2.6274749999999996
2024-08-07T16:21:00-04:00,2.6328984162370683,2.6328984162370683,2.56,2.577475
2024-08-07T16:22:00-04:00,2.6051867081185343,2.6299,2.56,2.612425
2024-08-07T16:23:00-04:00,2.608805854059267,2.63,2.608805854059267,2.63
2024-08-07T16:25:00-04:00,2.6194029270296335,2.6194029270296335,2.6,2.6
2024-08-07T16:27:00-04:00,2.609701463514817,2.609701463514817,2.5,2.54245
2024-08-07T16:28:00-04:00,2.576075731757409,2.599,2.576075731757409,2.599
2024-08-07T16:35:00-04:00,2.5875378658787045,2.5875378658787045,2.5,2.5025
2024-08-07T16:36:00-04:00,2.545018932939352,2.545018932939352,2.4999,2.4999
2024-08-07T16:37:00-04:00,2.522459466469676,2.59,2.522459466469676,2.59
2024-08-07T16:49:00-04:00,2.556229733234838,2.6,2.556229733234838,2.5949999999999998
2024-08-07T16:50:00-04:00,2.5756148666174186,2.63,2.5756148666174186,2.63
2024-08-07T16:51:00-04:00,2.6028074333087092,2.63,2.6028074333087092,2.63
2024-08-07T17:20:00-04:00,2.6164037166543546,2.7499,2.58,2.66495
2024-08-07T17:34:00-04:00,2.6406768583271774,2.6406768583271774,2.49,2.49
2024-08-07T17:36:00-04:00,2.565338429163589,2.6395,2.565338429163589,2.6395
