time,open,high,low,close,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter
2024-03-06T10:30:00-03:00,1271.098847038219,1272.4,1271.098847038219,1272.4,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1272.4,1268.77039412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-03-06T17:05:00-03:00,1271.7494235191095,1274.2,1271.7494235191095,1274.2,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1274.2,1270.1699468256002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-03-07T11:20:00-03:00,1272.9747117595548,1275.5,1272.9747117595548,1275.5,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1275.5,1271.5219548017599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-03-07T11:42:00-03:00,1274.2373558797774,1275.2,1274.2373558797774,1275.2,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1275.2,1271.5219548017599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-03-07T13:40:00-03:00,1274.7186779398887,1279.1,1274.7186779398887,1279.1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1279.1,1274.3620029374433,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-03-07T16:23:00-03:00,1276.9093389699442,1281,1276.9093389699442,1281,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1281,1276.5064823205803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-03-08T11:03:00-03:00,1278.954669484972,1287.9,1278.954669484972,1287.9,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1287.9,1281.862926563641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-03-08T11:16:00-03:00,1283.427334742486,1286.3,1283.427334742486,1286.3,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1286.3,1281.862926563641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-03-08T11:39:00-03:00,1284.863667371243,1287.1,1284.863667371243,1287.1,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1287.1,1281.862926563641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-03-08T12:21:00-03:00,1285.9818336856215,1287,1285.9818336856215,1287,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1287,1281.862926563641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-03-08T13:11:00-03:00,1286.4909168428107,1286.4909168428107,1286.2,1286.2,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1286.2,1281.862926563641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-03-08T16:50:00-03:00,1286.3454584214055,1286.3454584214055,1285.3,1285.3,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1285.3,1281.862926563641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-03-11T09:52:00-03:00,1285.8227292107026,1285.8227292107026,1283.9,1283.9,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1283.9,1281.862926563641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-03-11T09:56:00-03:00,1284.8613646053514,1284.8613646053514,1283.5,1283.5,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1283.5,1281.862926563641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-03-11T13:02:00-03:00,1284.1806823026757,1284.1806823026757,1280.8,1280.8,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1280.8,1281.862926563641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-03-11T13:46:00-03:00,1282.4903411513378,1282.4903411513378,1281,1281,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1281,1281.862926563641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-03-11T15:59:00-03:00,1281.745170575669,1281.745170575669,1280.6,1280.6,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1280.6,1281.862926563641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-03-11T16:22:00-03:00,1281.1725852878344,1281.3,1281.1725852878344,1281.3,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1281.3,1281.862926563641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-03-12T09:32:00-03:00,1281.2362926439173,1281.2362926439173,1280,1280,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,1280,1281.862926563641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-03-12T09:34:00-03:00,1280.6181463219586,1280.6181463219586,1279,1279,0,0,0,0,NaN,NaN,73.05112706949161,NaN,NaN,NaN,1279,1281.862926563641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
2024-03-12T10:25:00-03:00,1279.8090731609793,1279.8090731609793,1277,1277,0,0,0,0,NaN,NaN,71.8833747543161,NaN,NaN,NaN,1277,1281.862926563641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
