time,open,high,low,close,Bullish,Bullish+,Bearish,Bearish+,Bullish Exit,Bearish Exit,Trend Strength,Take Profit,Stop Loss,Bar Color Value,Trend Tracer,Trend Catcher,Smart Trail,Smart Trail Extremity,RZ R3 Band,RZ R2 Band,RZ R1 Band,RZ S1 Band,RZ S2 Band,RZ S3 Band,Neo Lead,Neo Lag,Custom Alert Condition Highlighter,Histogram,MACD,Signal
2024-07-24T15:37:00-04:00,2.2129460728761865,2.2129460728761865,2.2,2.205,0,0,0,0,NaN,NaN,60.50329554423431,NaN,NaN,NaN,2.2690879461321836,2.195636448771496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-0.0016127891687746946,-0.005668264756400809,-0.004055475587626115
2024-07-24T15:47:00-04:00,2.2089730364380933,2.2089730364380933,2.19,2.19,0,0,0,0,NaN,NaN,59.849204626977496,NaN,NaN,NaN,2.2690879461321836,2.195636448771496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-0.0029624345384297052,-0.007758518760663247,-0.004796084222233541
2024-07-24T15:59:00-04:00,2.1994865182190466,2.1994865182190466,2.13,2.15,0,0,0,0,NaN,NaN,59.97168838097463,NaN,NaN,NaN,2.2690879461321836,2.195636448771496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-0.006162051963802197,-0.012498649176986287,-0.00633659721318409
2024-07-24T16:26:00-04:00,2.1747432591095235,2.19,2.1747432591095235,2.19,0,0,0,0,NaN,NaN,59.20477983943857,NaN,NaN,NaN,2.2690879461321836,2.195636448771496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-0.0052340091329357834,-0.01287910862935382,-0.007645099496418036
2024-07-25T09:30:00-04:00,2.182371629554762,2.182371629554762,2.11,2.11,0,0,0,0,NaN,NaN,59.16410151500753,NaN,NaN,NaN,2.265986222239394,2.1652146076031915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-0.00941366865081281,-0.01941218530993405,-0.00999851665912124
2024-07-25T10:10:00-04:00,2.1461858147773807,2.15,2.1461858147773807,2.15,0,0,0,0,NaN,NaN,59.07670608308533,NaN,NaN,NaN,2.2062174338180065,2.1652146076031915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-0.008896057076592693,-0.021118588004862104,-0.012222530928269412
2024-07-25T10:22:00-04:00,2.1480929073886905,2.16,2.1480929073886905,2.16,0,0,0,0,NaN,NaN,58.78604487420913,NaN,NaN,NaN,2.2062174338180065,2.1652146076031915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-0.007355675038107903,-0.02141712472590429,-0.014061449687796388
2024-07-25T10:40:00-04:00,2.1540464536943453,2.1540464536943453,2.1205,2.1205,0,0,0,0,NaN,NaN,58.81387924284019,NaN,NaN,NaN,2.2062174338180065,2.1652146076031915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-0.008397198946458889,-0.024557948370869997,-0.01616074942441111
2024-07-25T10:58:00-04:00,2.1372732268471726,2.1372732268471726,2.12,2.12,0,0,0,0,NaN,NaN,58.81437945047008,NaN,NaN,NaN,2.198795021548797,2.1652146076031915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-0.008494385274277181,-0.026778731017257584,-0.018284345742980403
2024-07-25T11:08:00-04:00,2.1286366134235863,2.15,2.1286366134235863,2.15,0,0,0,0,NaN,NaN,58.5049867963376,NaN,NaN,NaN,2.198795021548797,2.1652146076031915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,-0.006028785264863883,-0.025820327324060255,-0.019791542059196372
